Entity,,Year,Annual CO₂ emissions (tonnes ),
Curacao,,2000,4802344.02,
Curacao,,2001,4890172.65,
Curacao,,2002,4714515.39,
Curacao,,2003,4717652.13,
Curacao,,2004,4949770.65,
Curacao,,2005,4905856.33,
Cyprus,,2000,7108859.5,
Cyprus,,2001,6982241.1,
Cyprus,,2002,7170780.1,
Cyprus,,2003,7560234.91,
Cyprus,,2004,7787751.05,
Cyprus,,2005,7972169.64,
Czech Republic,,2000,126896914,
Czech Republic,,2001,126666373,
Czech Republic,,2002,123598030,
Czech Republic,,2003,127048374,
Czech Republic,,2004,127759325,
Czech Republic,,2005,125294531,
Democratic Republic of Republic of the Congo,,2000,797506.41,
Democratic Republic of Republic of the Congo,,2001,816406.64,
Democratic Republic of Republic of the Congo,,2002,901253.8,
Democratic Republic of Republic of the Congo,,2003,952912.77,
Democratic Republic of Republic of the Congo,,2004,1157509.03,
Democratic Republic of Republic of the Congo,,2005,1445303.63,
Denmark,,2000,54307550.6,
Denmark,,2001,55880752.1,
Denmark,,2002,55551688.2,
Denmark,,2003,60635258.4,
Denmark,,2004,55110133.5,
Denmark,,2005,51532074.1,
Djibouti,,2000,340752,
Djibouti,,2001,366400,
Djibouti,,2002,399376,
Djibouti,,2003,421360,
Djibouti,,2004,406704,
Djibouti,,2005,414032,
Dominica,,2000,102592,
Dominica,,2001,109920,
Dominica,,2002,102592,
Dominica,,2003,117248,
Dominica,,2004,113584,
Dominica,,2005,117248,
Dominican Republic,,2000,19593674,
Dominican Republic,,2001,19593788.8,
Dominican Republic,,2002,21074255.1,
Dominican Republic,,2003,21259925.8,
Dominican Republic,,2004,18069690.4,
Dominican Republic,,2005,18380202,
EU-28,,2000,4187334052,
EU-28,,2001,4259400201,
EU-28,,2002,4235814501,
EU-28,,2003,4327781747,
EU-28,,2004,4337972863,
EU-28,,2005,4314639655,
Ecuador,,2000,20562617.6,
Ecuador,,2001,22939469.8,
Ecuador,,2002,24753138,
Ecuador,,2003,26747852.5,
Ecuador,,2004,28785844.8,
Ecuador,,2005,29970092.7,
Egypt,,2000,140347603,
Egypt,,2001,124292786,
Egypt,,2002,125781450,
Egypt,,2003,146462043,
Egypt,,2004,149143734,
Egypt,,2005,165041693,
El Salvador,,2000,5660887.26,
El Salvador,,2001,5854442.96,
El Salvador,,2002,5930844.34,
El Salvador,,2003,6434281.78,
El Salvador,,2004,6253663.02,
El Salvador,,2005,6349269.26,
Equatorial Guinea,,2000,454336,
Equatorial Guinea,,2001,3092416,
Equatorial Guinea,,2002,4975712,
Equatorial Guinea,,2003,6012624,
Equatorial Guinea,,2004,5213872,
Equatorial Guinea,,2005,4708240,
Eritrea,,2000,604075.76,
Eritrea,,2001,625989.03,
Eritrea,,2002,600270.3,
Eritrea,,2003,721111.57,
Eritrea,,2004,765008.84,
Eritrea,,2005,761274.11,
Estonia,,2000,15362207.4,
Estonia,,2001,15707868.3,
Estonia,,2002,15233321.7,
Estonia,,2003,17087248.5,
Estonia,,2004,17286590.6,
Estonia,,2005,17136321.5,
Ethiopia,,2000,3463787.2,
Ethiopia,,2001,4263382.28,
Ethiopia,,2002,4430488.1,
Ethiopia,,2003,4871122.29,
Ethiopia,,2004,5158619.71,
Ethiopia,,2005,4955126.88,
Europe (other),,2000,1998270423,
Europe (other),,2001,2064509290,
Europe (other),,2002,2049497389,
Europe (other),,2003,2102589199,
Europe (other),,2004,2122582909,
Europe (other),,2005,2146674025,
Faeroe Islands,,2000,688832,
Faeroe Islands,,2001,762112,
Faeroe Islands,,2002,725472,
Faeroe Islands,,2003,732800,
Faeroe Islands,,2004,747456,
Faeroe Islands,,2005,721808,
Falkland Islands,,2000,36640,
Falkland Islands,,2001,43968,
Falkland Islands,,2002,43968,
Falkland Islands,,2003,47632,
Falkland Islands,,2004,51296,
Falkland Islands,,2005,51296,
Fiji,,2000,833603.76,
Fiji,,2001,1045950.69,
Fiji,,2002,879452.34,
Fiji,,2003,1036074.55,
Fiji,,2004,1339983.39,
Fiji,,2005,1081006.03,
Finland,,2000,57041532,
Finland,,2001,62539274.1,
Finland,,2002,65061819.8,
Finland,,2003,72658369.8,
Finland,,2004,68961595.5,
Finland,,2005,57045015.5,
France,,2000,420652709,
France,,2001,425882461,
France,,2002,420919498,
France,,2003,428002760,
France,,2004,428927747,
France,,2005,432639271,
French Guiana,,2000,465328,
French Guiana,,2001,509296,
French Guiana,,2002,458000,
French Guiana,,2003,600896,
French Guiana,,2004,571584,
French Guiana,,2005,553264,
French Polynesia,,2000,567920,
French Polynesia,,2001,677840,
French Polynesia,,2002,707152,
French Polynesia,,2003,769440,
French Polynesia,,2004,762112,
French Polynesia,,2005,820736,
Gabon,,2000,4669870.17,
Gabon,,2001,4772971.67,
Gabon,,2002,4543984.75,
Gabon,,2003,4613188.16,
Gabon,,2004,4656743.56,
